,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,segment,time,flow,speed,is_crash,diff_flow,diff_speed,vari_flow_in_last_4mins,vari_speed_in_last_4mins,speed_on_last_seg,flow_on_last_seg
45892,45892,45896,45900,45900,2218,81960,126,70,0,-9,-2,16,1,60,169
94932,94932,95226,97490,97490,4110,35400,171,67,0,-48,5,392,4,16,177
99482,99482,99786,102060,102060,4117,69960,162,27,1,32,6,458,9,60,174
110955,110955,111383,114203,114203,4134,60960,68,79,0,16,1,99,2,26,172
95830,95830,96124,98388,98388,4111,56760,232,59,1,6,-1,56,4,63,190
94209,94209,94503,96767,96767,4109,35040,140,15,1,7,0,9,0,9,121
110782,110782,111210,114030,114030,4134,40200,90,76,0,-3,-1,1,0,19,135
74402,74402,74649,76581,76581,3213,63720,122,71,0,-23,-8,88,10,56,186
117641,117641,118181,122871,122871,4208,64320,96,80,0,30,-2,155,0,68,180
105561,105561,105866,108141,108141,4126,22080,78,73,0,17,-1,57,4,76,64
146572,146572,147495,154844,154844,5208,21840,26,70,0,4,0,10,0,74,42
95113,95113,95407,97671,97671,4110,57120,165,44,0,-3,19,2,106,60,259
95837,95837,96131,98395,98395,4111,57600,166,8,1,-17,1,68,1,11,120
105013,105013,105318,107593,107593,4125,42720,168,52,0,-5,6,33,62,74,139
76825,76825,77073,79006,79006,3217,9120,18,82,0,-1,0,20,0,83,8
93529,93529,93823,96087,96087,4108,39840,145,13,0,-29,-3,233,1,21,157
105015,105015,105320,107595,107595,4125,42960,165,38,0,14,7,36,32,71,130
110209,110209,110622,113308,113308,4133,39960,148,25,1,-4,-1,3,1,76,99
45086,45086,45090,45094,45094,2217,71640,195,49,0,17,-2,328,6,59,184
21288,21288,21288,21288,21288,1216,58800,160,66,0,-20,1,93,2,63,230
94306,94306,94600,96864,96864,4109,46680,224,55,0,1,5,84,4,70,166
10391,10391,10391,10391,10391,1116,42960,184,53,1,13,-5,74,6,52,151
52380,52380,52388,52396,52396,3107,83880,86,58,0,14,-2,54,0,75,78
46564,46564,46568,46572,46572,2219,76200,109,57,0,8,4,14,6,20,70
30534,30534,30537,30540,30540,2113,53160,76,11,0,12,2,198,1,34,171
94975,94975,95269,97533,97533,4110,40560,119,12,0,6,5,56,57,32,224
94919,94919,95213,97477,97477,4110,33840,59,82,0,-2,-3,18,2,4,58
96538,96538,96839,99110,99110,4112,57000,92,72,0,56,-3,2166,10,24,160
84312,84312,84578,86809,86809,3228,48000,45,43,1,7,1,8,0,9,63
106433,106433,106738,109013,109013,4127,42960,201,54,0,5,1,16,12,34,192
95836,95836,96130,98394,98394,4111,57480,149,9,1,-1,2,0,2,12,120
84492,84492,84758,86989,86989,3228,69600,46,86,1,-2,1,0,9,6,55
71718,71718,71915,73632,73632,3209,55440,122,48,0,1,3,2,1,16,81
116980,116980,117503,122061,122061,4207,53520,120,63,0,-24,0,110,0,39,178
110931,110931,111359,114179,114179,4134,58080,133,74,0,-5,-4,33,2,24,198
127804,127804,128396,133351,133351,4223,34440,173,71,0,-43,6,514,6,76,133
95417,95417,95711,97975,97975,4111,7200,10,78,0,1,0,4,0,85,9
83768,83768,84034,86265,86265,3227,69120,62,12,0,26,27,162,197,63,67
5465,5465,5465,5465,5465,1108,52680,131,32,1,16,5,80,16,22,220
110347,110347,110760,113446,113446,4133,56520,184,36,1,-17,2,57,1,78,120
56429,56429,56441,56631,56631,3115,73680,41,32,1,11,8,860,67,13,40
87511,87511,87780,90014,90014,3234,600,23,65,0,6,0,11,0,78,32
94092,94092,94386,96650,96650,4109,21000,31,80,0,6,-1,24,1,80,25
358,358,358,358,358,1101,42960,71,63,0,9,-1,33,4,0,0
59443,59443,59507,60074,60074,3120,54840,120,61,0,-9,-1,29,0,38,131
8317,8317,8317,8317,8317,1113,53160,165,14,1,1,-3,734,4,12,99
115422,115422,115936,120352,120352,4205,21240,37,79,0,-12,-2,26,6,80,46
13339,13339,13339,13339,13339,1204,51120,142,24,0,1,1,68,2,18,107
100854,100854,101158,103432,103432,4119,61800,188,73,0,8,-2,82,4,69,160
